episode,epsilon_p1,epsilon_p2,score_p1,score_p2
1,0.999,0.999,0,0
2,0.998,0.998,0,0
3,0.996,0.996,1,0
4,0.995,0.995,2,0
5,0.994,0.994,2,1
6,0.993,0.993,3,1
7,0.992,0.992,4,1
8,0.991,0.991,4,2
9,0.989,0.989,4,3
10,0.988,0.988,5,3
11,0.987,0.987,6,3
12,0.986,0.986,7,3
13,0.985,0.985,8,3
14,0.983,0.983,9,3
15,0.982,0.982,10,3
16,0.981,0.981,11,3
17,0.98,0.98,11,4
18,0.979,0.979,11,5
19,0.977,0.977,11,6
20,0.976,0.976,12,6
21,0.975,0.975,13,6
22,0.974,0.974,14,6
23,0.973,0.973,14,7
24,0.972,0.972,14,8
25,0.97,0.97,15,8
26,0.969,0.969,15,9
27,0.968,0.968,15,10
28,0.967,0.967,15,11
29,0.966,0.966,16,11
30,0.964,0.964,17,11
31,0.963,0.963,18,11
32,0.962,0.962,18,12
33,0.961,0.961,19,12
34,0.96,0.96,20,12
35,0.958,0.958,20,13
36,0.957,0.957,20,14
37,0.956,0.956,20,15
38,0.955,0.955,20,16
39,0.954,0.954,20,17
40,0.953,0.953,21,17
41,0.951,0.951,21,18
42,0.95,0.95,22,18
43,0.949,0.949,23,18
44,0.948,0.948,24,18
45,0.947,0.947,25,18
46,0.945,0.945,26,18
47,0.944,0.944,27,18
48,0.943,0.943,27,19
49,0.942,0.942,28,19
50,0.941,0.941,29,19
51,0.939,0.939,29,20
52,0.938,0.938,29,21
53,0.937,0.937,29,22
54,0.936,0.936,30,22
55,0.935,0.935,30,23
56,0.933,0.933,30,24
57,0.932,0.932,30,25
58,0.931,0.931,31,25
59,0.93,0.93,31,26
60,0.929,0.929,31,27
61,0.928,0.928,32,27
62,0.926,0.926,33,27
63,0.925,0.925,34,27
64,0.924,0.924,34,28
65,0.923,0.923,35,28
66,0.922,0.922,36,28
67,0.92,0.92,37,28
68,0.919,0.919,37,29
69,0.918,0.918,37,30
70,0.917,0.917,37,31
71,0.916,0.916,37,32
72,0.914,0.914,38,32
73,0.913,0.913,38,33
74,0.912,0.912,39,33
75,0.911,0.911,40,33
76,0.91,0.91,40,34
77,0.909,0.909,41,34
78,0.907,0.907,41,35
79,0.906,0.906,42,35
80,0.905,0.905,43,35
81,0.904,0.904,43,36
82,0.903,0.903,43,37
83,0.901,0.901,44,37
84,0.9,0.9,45,37
85,0.899,0.899,46,37
86,0.898,0.898,47,37
87,0.897,0.897,48,37
88,0.895,0.895,48,38
89,0.894,0.894,49,38
90,0.893,0.893,49,39
91,0.892,0.892,50,39
92,0.891,0.891,50,40
93,0.89,0.89,50,41
94,0.888,0.888,51,41
95,0.887,0.887,51,42
96,0.886,0.886,52,42
97,0.885,0.885,52,43
98,0.884,0.884,52,44
99,0.882,0.882,53,44
100,0.881,0.881,53,45
101,0.88,0.88,53,46
102,0.879,0.879,53,47
103,0.878,0.878,54,47
104,0.877,0.877,54,48
105,0.875,0.875,55,48
106,0.874,0.874,55,49
107,0.873,0.873,55,50
108,0.872,0.872,55,51
109,0.871,0.871,55,52
110,0.869,0.869,56,52
111,0.868,0.868,56,53
112,0.867,0.867,57,53
113,0.866,0.866,58,53
114,0.865,0.865,59,53
115,0.863,0.863,59,54
116,0.862,0.862,60,54
117,0.861,0.861,61,54
118,0.86,0.86,61,55
119,0.859,0.859,61,56
120,0.858,0.858,62,56
121,0.856,0.856,63,56
122,0.855,0.855,63,57
123,0.854,0.854,63,58
124,0.853,0.853,63,59
125,0.852,0.852,63,60
126,0.85,0.85,64,60
127,0.849,0.849,64,61
128,0.848,0.848,64,62
129,0.847,0.847,64,63
130,0.846,0.846,65,63
131,0.844,0.844,66,63
132,0.843,0.843,66,64
133,0.842,0.842,66,65
134,0.841,0.841,66,66
135,0.84,0.84,66,67
136,0.839,0.839,67,67
137,0.837,0.837,67,68
138,0.836,0.836,67,69
139,0.835,0.835,67,70
140,0.834,0.834,68,70
141,0.833,0.833,68,71
142,0.831,0.831,69,71
143,0.83,0.83,70,71
144,0.829,0.829,70,72
145,0.828,0.828,70,73
146,0.827,0.827,71,73
147,0.825,0.825,72,73
148,0.824,0.824,72,74
149,0.823,0.823,73,74
150,0.822,0.822,74,74
151,0.821,0.821,75,74
152,0.82,0.82,75,75
153,0.818,0.818,75,76
154,0.817,0.817,75,77
155,0.816,0.816,76,77
156,0.815,0.815,77,77
157,0.814,0.814,78,77
158,0.812,0.812,78,78
159,0.811,0.811,79,78
160,0.81,0.81,79,79
161,0.809,0.809,80,79
162,0.808,0.808,80,80
163,0.806,0.806,80,81
164,0.805,0.805,81,81
165,0.804,0.804,82,81
166,0.803,0.803,82,82
167,0.802,0.802,83,82
168,0.8,0.8,83,83
169,0.799,0.799,84,83
170,0.798,0.798,84,84
171,0.797,0.797,84,85
172,0.796,0.796,85,85
173,0.795,0.795,86,85
174,0.793,0.793,87,85
175,0.792,0.792,87,86
176,0.791,0.791,87,87
177,0.79,0.79,87,88
178,0.789,0.789,87,89
179,0.787,0.787,88,89
180,0.786,0.786,89,89
181,0.785,0.785,89,90
182,0.784,0.784,89,90
183,0.783,0.783,89,90
184,0.781,0.781,90,90
185,0.78,0.78,90,90
186,0.779,0.779,91,90
187,0.778,0.778,92,90
188,0.777,0.777,93,90
189,0.776,0.776,93,91
190,0.774,0.774,93,91
191,0.773,0.773,94,91
192,0.772,0.772,95,91
193,0.771,0.771,95,91
194,0.77,0.77,95,91
195,0.768,0.768,95,91
196,0.767,0.767,95,91
197,0.766,0.766,96,91
198,0.765,0.765,97,91
199,0.764,0.764,98,91
200,0.762,0.762,99,91
201,0.761,0.761,100,91
202,0.76,0.76,100,92
203,0.759,0.759,100,93
204,0.758,0.758,100,93
205,0.757,0.757,100,94
206,0.755,0.755,100,94
207,0.754,0.754,101,94
208,0.753,0.753,102,94
209,0.752,0.752,103,94
210,0.751,0.751,104,94
211,0.749,0.749,104,95
