episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
1,5426,0.0,0.01,0.01
2,8255,0.0,0.01,-2.0,-1.99
3,13687,0.0,0.01,0.01
4,16456,0.0,0.01,-2.0,-1.99
5,20043,0.0,0.01,-2.0,-1.99
6,23304,0.0,0.01,-2.0,-1.99
7,25568,0.0,0.01,-2.0,-1.99
8,31001,0.0,0.01,0.01
9,33490,0.0,0.01,-2.0,-1.99
10,37973,0.0,0.01,-2.0,-1.99
11,43412,0.0,0.01,0.01
12,46040,0.0,0.01,-2.0,-1.99
13,47695,0.0,0.01,-2.0,-1.99
14,48987,0.3,0.01,2.0,2.31
15,50412,0.0,0.01,-2.0,-1.99
16,52139,-0.3,0.01,2.0,1.71
17,54952,0.0,0.01,-2.0,-1.99
18,56294,0.0,1.0,0.01,2.0,3.01
19,57550,0.0,0.01,-2.0,-1.99
20,58412,-0.3,0.01,2.0,1.71
21,60110,0.0,0.01,2.0,2.01
22,61395,0.0,1.0,0.01,2.0,3.01
23,62372,-0.3,0.01,2.0,1.71
24,63598,0.3,0.01,2.0,2.31
25,65428,0.3,0.01,-2.0,-1.69
26,66514,0.0,0.01,2.0,2.01
27,67742,0.0,0.01,-2.0,-1.99
28,68840,0.0,0.01,2.0,2.01
29,70617,0.3,0.01,-2.0,-1.69
30,71641,0.0,1.0,0.01,2.0,3.01
31,72879,-0.3,0.01,-2.0,-2.29
32,74680,0.0,0.01,-2.0,-1.99
33,75785,0.0,0.01,-2.0,-1.99
34,77196,0.0,1.0,0.01,2.0,3.01
35,78283,-0.3,0.01,2.0,1.71
36,79377,-0.3,0.01,2.0,1.71
37,80559,-0.3,0.01,-2.0,-2.29
38,81721,0.0,0.01,-2.0,-1.99
39,82688,0.0,0.01,2.0,2.01
40,83920,0.0,0.01,2.0,2.01
41,84894,0.0,0.01,-2.0,-1.99
42,85947,0.0,0.01,-2.0,-1.99
43,87285,0.0,0.01,2.0,2.01
44,88209,0.0,0.01,-2.0,-1.99
45,89405,0.0,1.0,0.01,2.0,3.01
46,90458,0.0,0.01,2.0,2.01
47,91537,0.3,0.01,2.0,2.31
48,92574,0.3,0.01,-2.0,-1.69
49,93924,0.0,0.01,2.0,2.01
50,95100,0.0,0.01,-2.0,-1.99
51,96332,0.3,0.01,2.0,2.31
52,97526,0.3,0.01,2.0,2.31
53,98553,0.0,0.01,-2.0,-1.99
54,99677,0.0,0.01,-2.0,-1.99
55,100638,0.0,1.0,0.01,2.0,3.01
56,101635,0.0,0.01,-2.0,-1.99
57,102612,0.0,1.0,0.01,2.0,3.01
58,103745,0.0,1.0,0.01,2.0,3.01
59,104736,0.3,0.01,-2.0,-1.69
60,105951,0.3,0.01,2.0,2.31
61,106796,0.0,0.01,-2.0,-1.99
62,107867,0.0,0.01,2.0,2.01
63,108994,0.3,0.01,2.0,2.31
64,109958,-0.3,0.01,2.0,1.71
65,111029,0.3,0.01,2.0,2.31
66,111860,-0.3,0.01,2.0,1.71
67,113145,0.0,-0.5,0.01,2.0,1.51
68,114446,0.0,0.01,-2.0,-1.99
69,115250,0.0,0.01,-2.0,-1.99
70,116131,0.0,0.01,-2.0,-1.99
71,117067,0.0,0.01,2.0,2.01
72,117860,-0.3,0.01,-2.0,-2.29
73,118930,0.0,0.01,-2.0,-1.99
74,120087,-0.3,0.01,-2.0,-2.29
75,121086,0.0,0.01,-2.0,-1.99
76,122213,0.0,0.01,2.0,2.01
77,123120,-0.3,0.01,-2.0,-2.29
78,124075,0.0,0.01,-2.0,-1.99
79,124932,0.0,0.01,-2.0,-1.99
80,126000,0.3,0.01,2.0,2.31
81,126837,0.3,0.01,-2.0,-1.69
82,127815,0.0,0.01,-2.0,-1.99
83,128702,0.3,0.01,-2.0,-1.69
84,129615,0.0,0.01,2.0,2.01
85,130636,0.3,0.01,-2.0,-1.69
86,131869,0.0,-0.5,0.01,2.0,1.51
87,133130,0.0,1.0,0.01,2.0,3.01
88,134190,0.0,0.01,-2.0,-1.99
89,135081,-0.3,0.01,2.0,1.71
90,136065,0.0,1.0,0.01,2.0,3.01
91,137252,0.0,1.0,0.01,2.0,3.01
92,138225,0.0,0.01,-2.0,-1.99
