episode,step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2
0,500,0.04358072578907013,0.0024818985257297754,0.03377829119563103,0.050153546035289764,1.0,1.0,-36.0,-34.5
0,1000,0.09704267233610153,0.03074093721807003,0.016979344189167023,0.0439952053129673,1.0,1.0,-72.0,-70.5
0,1500,0.06839889287948608,0.055982012301683426,0.02992185577750206,0.032139651477336884,1.0,1.0,-105.0,-105.0
0,2000,0.08302927762269974,0.003548602107912302,0.0497378446161747,0.0390932597219944,1.0,1.0,-141.0,-141.0
0,2500,0.05618799477815628,0.04338265210390091,0.05600322037935257,0.04009910672903061,1.0,1.0,-175.5,-175.5
0,3000,0.04556358605623245,0.029531223699450493,0.0503421276807785,0.05693360045552254,1.0,1.0,-203.5,-205.0
0,3500,0.07195881009101868,0.03232981264591217,0.0733027383685112,0.034746963530778885,1.0,1.0,-238.0,-241.0
1,4000,0.04343792796134949,0.09704470634460449,0.07122617214918137,0.026024507358670235,0.999,0.999,-28.5,-28.5
1,4500,0.017232276499271393,0.04508877173066139,0.07209042459726334,0.028829041868448257,0.999,0.999,-64.5,-63.0
1,5000,0.04411875829100609,0.03180882707238197,0.08234274387359619,0.03768530488014221,0.999,0.999,-100.5,-96.0
1,5500,0.017238112166523933,0.08265315741300583,0.07988832890987396,0.035271696746349335,0.999,0.999,-135.0,-130.5
1,6000,0.01771058700978756,0.01603020913898945,0.09693723917007446,0.06308740377426147,0.999,0.999,-169.5,-166.5
1,6500,0.05736377835273743,0.056462641805410385,0.07413708418607712,0.04756215214729309,0.999,0.999,-205.5,-201.0
2,7000,0.044908683747053146,0.044217560440301895,0.06849371641874313,0.04139915108680725,0.998,0.998,-10.5,-12.0
2,7500,0.05674979090690613,0.056686654686927795,0.09335106611251831,0.05778822302818298,0.998,0.998,-27.0,-33.5
2,8000,0.017723487690091133,0.016350671648979187,0.08473147451877594,0.05249963700771332,0.998,0.998,-63.0,-69.5
2,8500,0.042273350059986115,0.043839067220687866,0.09163198620080948,0.05505429208278656,0.998,0.998,-97.5,-102.5
2,9000,0.086220383644104,0.0426885262131691,0.10392162948846817,0.05188988149166107,0.998,0.998,-133.5,-137.0
2,9500,0.01605299673974514,0.017687126994132996,0.12695527076721191,0.04396583139896393,0.998,0.998,-148.5,-152.0
3,10000,0.10308535397052765,0.044482432305812836,0.10656474530696869,0.06598108261823654,0.996,0.996,28.5,9.0
4,10500,0.027122635394334793,0.017085138708353043,0.09376946091651917,0.05304981768131256,0.995,0.995,-34.5,-34.5
4,11000,0.08750972896814346,0.056207798421382904,0.13610488176345825,0.07979489862918854,0.995,0.995,-70.5,-70.5
4,11500,0.05685149505734444,0.031089304015040398,0.13467256724834442,0.10130816698074341,0.995,0.995,-105.0,-106.5
4,12000,0.09605881571769714,0.09871993958950043,0.19956451654434204,0.10438327491283417,0.995,0.995,-141.0,-134.5
4,12500,0.03228871151804924,0.045186638832092285,0.2000204175710678,0.11010924726724625,0.995,0.995,-156.0,-157.5
5,13000,0.059451475739479065,0.14411254227161407,0.17836205661296844,0.104494109749794,0.994,0.994,-21.0,-19.5
5,13500,0.05748331546783447,0.032560884952545166,0.14761663973331451,0.07702215015888214,0.994,0.994,-55.5,-54.0
5,14000,0.1271904855966568,0.0693092793226242,0.21225658059120178,0.11420983821153641,0.994,0.994,-90.0,-88.5
5,14500,0.09038075059652328,0.10162132978439331,0.2368190586566925,0.13807567954063416,0.994,0.994,-126.0,-123.0
5,15000,0.0699160024523735,0.04293219372630119,0.2578202784061432,0.12309354543685913,0.994,0.994,-160.5,-157.5
5,15500,0.10326291620731354,0.04070911183953285,0.42041879892349243,0.10493780672550201,0.994,0.994,-162.5,-166.0
5,16000,0.03382579982280731,0.10875418037176132,0.38617274165153503,0.2895559072494507,0.994,0.994,-171.0,-182.5
6,16500,0.07040724903345108,0.045037008821964264,0.4252103269100189,0.22921669483184814,0.993,0.993,-34.5,-34.5
6,17000,0.033955104649066925,0.048846110701560974,0.4472178816795349,0.35059839487075806,0.993,0.993,-57.5,-56.0
6,17500,0.0059942747466266155,0.04257471114397049,0.3406952917575836,0.30822378396987915,0.993,0.993,-92.0,-90.5
6,18000,0.044515471905469894,0.05941571295261383,0.2846912741661072,0.2868473529815674,0.993,0.993,-126.5,-126.5
6,18500,0.04420575127005577,0.042385123670101166,0.5448179841041565,0.297255277633667,0.993,0.993,-162.5,-161.0
7,19000,0.07056199014186859,0.007455415558069944,0.4630560278892517,0.6031434535980225,0.992,0.992,23.0,37.5
8,19500,0.048078589141368866,0.10320774465799332,0.6390590071678162,0.4392325282096863,0.991,0.991,-34.5,-28.0
9,20000,0.15659816563129425,0.10977394878864288,0.8119012713432312,0.3845422565937042,0.989,0.989,-21.0,-21.0
10,20500,0.1097089946269989,0.0711182951927185,0.9330446124076843,0.4186233878135681,0.988,0.988,-1.5,-1.5
10,21000,0.048707980662584305,0.0638216957449913,0.9863527417182922,0.5801292061805725,0.988,0.988,-36.0,-37.5
10,21500,0.05229745805263519,0.03187915310263634,1.2070202827453613,0.3139442503452301,0.988,0.988,-70.5,-72.0
11,22000,0.03318769484758377,0.022846434265375137,1.1673108339309692,0.3585103452205658,0.987,0.987,-6.0,-6.0
12,22500,0.011039173230528831,0.09451618045568466,1.3888165950775146,0.6582707166671753,0.986,0.986,-13.5,-12.0
12,23000,0.031245268881320953,0.03976981341838837,1.1243855953216553,0.5601834058761597,0.986,0.986,-23.5,-40.0
13,23500,0.02889251708984375,0.1432182788848877,1.4620805978775024,1.0096756219863892,0.985,0.985,25.0,4.0
14,24000,0.05068962648510933,0.04934844747185707,1.8647043704986572,1.1447794437408447,0.983,0.983,-31.5,-33.0
15,24500,0.1324518769979477,0.06746561080217361,1.8048338890075684,1.0469152927398682,0.982,0.982,-4.5,-4.5
15,25000,0.12520161271095276,0.06660643965005875,2.3502449989318848,0.9833680391311646,0.982,0.982,-26.0,-40.5
15,25500,0.17098510265350342,0.10419841855764389,1.7053998708724976,0.8173381090164185,0.982,0.982,-60.5,-75.0
15,26000,0.03802710399031639,0.12343589961528778,2.148514747619629,1.282045841217041,0.982,0.982,-82.0,-103.0
16,26500,0.20691418647766113,0.09569532424211502,2.0480098724365234,1.2452895641326904,0.981,0.981,-18.0,-16.5
17,27000,0.027225205674767494,0.07045017182826996,2.1965701580047607,1.466338038444519,0.98,0.98,-3.0,-3.0
17,27500,0.19344384968280792,0.06972979009151459,2.6469547748565674,1.6890920400619507,0.98,0.98,-19.5,14.5
18,28000,0.05171935632824898,0.05027768388390541,2.842533826828003,1.4569790363311768,0.979,0.979,-30.0,-31.5
19,28500,0.07212498039007187,0.040377773344516754,2.528440237045288,1.7270981073379517,0.977,0.977,-10.5,-9.0
19,29000,0.10750679671764374,0.13240936398506165,2.994802236557007,1.9490306377410889,0.977,0.977,-37.0,-37.0
20,29500,0.0382063090801239,0.16863225400447845,3.146261692047119,2.063009738922119,0.976,0.976,-13.5,-10.5
20,30000,0.14077982306480408,0.06821861863136292,2.328840732574463,1.544792890548706,0.976,0.976,-41.5,-45.0
20,30500,0.13651464879512787,0.14536143839359283,3.368138074874878,2.364055871963501,0.976,0.976,-56.5,-58.5
21,31000,0.04035387933254242,0.0838279202580452,3.4773783683776855,2.3809587955474854,0.975,0.975,-6.0,-6.0
21,31500,0.047644808888435364,0.05803992971777916,3.709066152572632,2.3200056552886963,0.975,0.975,-8.0,-40.5
22,32000,0.06281115114688873,0.04176443815231323,3.4505672454833984,2.821333885192871,0.974,0.974,-1.0,-1.0
23,32500,0.08174750208854675,0.11156363785266876,3.3485186100006104,3.491281747817993,0.973,0.973,-19.5,-19.5
24,33000,0.1646990031003952,0.07192475348711014,3.8195254802703857,3.2889351844787598,0.972,0.972,-3.0,-1.5
24,33500,0.09995103627443314,0.14403332769870758,4.1621856689453125,2.8352582454681396,0.972,0.972,-24.5,-23.0
25,34000,0.07654878497123718,0.11424391716718674,4.648303031921387,3.5770633220672607,0.97,0.97,-18.0,-18.0
26,34500,0.0828450471162796,0.12409432977437973,4.126208305358887,3.686244487762451,0.969,0.969,-8.5,-8.5
27,35000,0.045051638036966324,0.0794612318277359,4.672897815704346,3.700732469558716,0.968,0.968,-18.0,-18.0
27,35500,0.053423866629600525,0.13259510695934296,4.383556842803955,3.68646502494812,0.968,0.968,-54.0,-44.5
28,36000,0.21697932481765747,0.08209434896707535,5.219168186187744,4.54705286026001,0.967,0.967,-15.0,-15.0
29,36500,0.09291568398475647,0.15464386343955994,5.511205673217773,4.085477352142334,0.966,0.966,-10.5,-10.5
30,37000,0.10756206512451172,0.10700833797454834,5.4949212074279785,4.505426406860352,0.964,0.964,-9.0,-9.0
31,37500,0.2573184669017792,0.08933230489492416,5.568093776702881,3.8516407012939453,0.963,0.963,-1.5,-1.5
31,38000,0.051286645233631134,0.17898684740066528,6.478289604187012,4.303310871124268,0.963,0.963,-24.5,-10.0
32,38500,0.14770492911338806,0.07806459814310074,5.682767868041992,4.632989883422852,0.962,0.962,-16.0,-16.0
33,39000,0.17486508190631866,0.08489332348108292,7.220074653625488,4.810762405395508,0.961,0.961,-11.5,-10.0
34,39500,0.0832018256187439,0.11666519939899445,6.311056613922119,4.867580413818359,0.96,0.96,-12.0,-12.0
35,40000,0.09647171199321747,0.0478537492454052,6.675431728363037,5.0934953689575195,0.958,0.958,-4.5,-4.5
36,40500,0.10038266330957413,0.1945408284664154,7.373532295227051,5.265946865081787,0.957,0.957,-3.0,-3.0
36,41000,0.064682736992836,0.10833726823329926,6.888617038726807,4.642010688781738,0.957,0.957,-37.5,-39.0
36,41500,0.1046828106045723,0.10831383615732193,6.969607830047607,5.249718189239502,0.957,0.957,-73.5,-72.0
37,42000,0.10315760970115662,0.18885643780231476,6.893261432647705,5.213629722595215,0.956,0.956,-1.5,-1.5
37,42500,0.12960486114025116,0.1274164617061615,6.43939208984375,4.927395820617676,0.956,0.956,-36.0,-34.5
37,43000,0.11180718243122101,0.06837480515241623,6.894367218017578,5.0803117752075195,0.956,0.956,-30.0,-18.5
38,43500,0.08013279736042023,0.11507342010736465,7.567296981811523,5.821648597717285,0.955,0.955,-4.0,-5.5
39,44000,0.10713161528110504,0.13827332854270935,6.4677510261535645,4.8478899002075195,0.954,0.954,11.5,3.5
40,44500,0.059814322739839554,0.18086740374565125,7.189708709716797,5.687040328979492,0.953,0.953,-22.5,-22.5
41,45000,0.11908652633428574,0.05917247384786606,7.691415786743164,6.012608051300049,0.951,0.951,-12.0,-13.5
42,45500,0.10328686237335205,0.07709284871816635,7.621192455291748,6.12677001953125,0.95,0.95,1.0,-5.5
43,46000,0.02791595458984375,0.12511466443538666,7.661187171936035,6.686796188354492,0.949,0.949,-3.0,-3.0
44,46500,0.031209085136651993,0.1118638813495636,8.238073348999023,6.644489288330078,0.948,0.948,10.0,2.0
46,47000,0.09597388654947281,0.18521438539028168,8.370298385620117,6.126893997192383,0.945,0.945,-4.5,-3.0
47,47500,0.08847876638174057,0.1560285985469818,8.311495780944824,6.303450107574463,0.944,0.944,-10.5,-10.5
48,48000,0.0859932005405426,0.054024118930101395,8.657028198242188,7.211246967315674,0.943,0.943,-7.5,-7.5
48,48500,0.19773969054222107,0.19461379945278168,9.143733978271484,7.303598403930664,0.943,0.943,3.5,3.5
49,49000,0.08175910264253616,0.09975355863571167,9.592065811157227,7.729574203491211,0.942,0.942,24.5,11.5
51,49500,0.08393421769142151,0.1870904564857483,9.414709091186523,7.838150978088379,0.939,0.939,-6.0,-6.0
52,50000,0.05574055016040802,0.10710309445858002,9.864882469177246,7.255979537963867,0.938,0.938,2.5,2.5
53,50500,0.13608767092227936,0.14825306832790375,9.258058547973633,7.2996745109558105,0.937,0.937,-13.5,-13.5
54,51000,0.17920920252799988,0.09405175596475601,10.17593002319336,7.604755878448486,0.936,0.936,-13.5,-13.5
55,51500,0.0416577011346817,0.19962149858474731,10.254231452941895,7.731085300445557,0.935,0.935,14.0,25.5
57,52000,0.056410931050777435,0.0706072673201561,10.645121574401855,8.598235130310059,0.932,0.932,5.5,5.5
58,52500,0.14580237865447998,0.02877938002347946,10.633119583129883,8.856223106384277,0.931,0.931,3.0,3.0
59,53000,0.027015555649995804,0.21591633558273315,10.736834526062012,9.505160331726074,0.93,0.93,16.5,36.0
61,53500,0.13505470752716064,0.10524032264947891,10.86612319946289,8.354867935180664,0.928,0.928,-12.0,-12.0
62,54000,0.1596093773841858,0.058369122445583344,10.860349655151367,9.569305419921875,0.926,0.926,14.5,-3.5
63,54500,0.112436942756176,0.17138686776161194,11.1212797164917,9.938519477844238,0.925,0.925,-14.5,-14.5
64,55000,0.15374921262264252,0.15434832870960236,11.370539665222168,9.99964427947998,0.924,0.924,16.0,-3.5
66,55500,0.03244186192750931,0.15050485730171204,11.24239444732666,10.490205764770508,0.922,0.922,-4.5,-4.5
67,56000,0.18728893995285034,0.08494499325752258,11.56277847290039,9.941024780273438,0.92,0.92,-6.0,-7.5
68,56500,0.08913129568099976,0.12293929606676102,11.387863159179688,9.418615341186523,0.919,0.919,0.0,0.0
70,57000,0.06083596870303154,0.15984253585338593,11.402915954589844,9.00632381439209,0.917,0.917,-1.5,-1.5
71,57500,0.2243192493915558,0.15505042672157288,11.131771087646484,9.839034080505371,0.916,0.916,-5.5,-5.5
72,58000,0.12924504280090332,0.13515101373195648,11.548995018005371,10.400713920593262,0.914,0.914,4.5,4.5
73,58500,0.027538452297449112,0.09419213235378265,11.826950073242188,9.451168060302734,0.913,0.913,-6.0,-7.5
75,59000,0.21987247467041016,0.16868934035301208,11.503874778747559,8.882462501525879,0.911,0.911,-1.5,-1.5
76,59500,0.08436208218336105,0.23617717623710632,11.797029495239258,9.991297721862793,0.91,0.91,8.0,8.0
78,60000,0.11260347813367844,0.14342641830444336,11.43964958190918,9.531682968139648,0.907,0.907,-1.5,0.0
78,60500,0.084520123898983,0.13054321706295013,11.852309226989746,8.672272682189941,0.907,0.907,-10.0,3.0
80,61000,0.033250223845243454,0.12941764295101166,11.928871154785156,9.951908111572266,0.905,0.905,-1.5,-1.5
80,61500,0.06391868740320206,0.244994655251503,11.863327026367188,10.362420082092285,0.905,0.905,16.0,22.5
82,62000,0.0650903508067131,0.14917083084583282,12.52116870880127,9.80540657043457,0.903,0.903,17.5,4.5
83,62500,0.03976971283555031,0.2921977937221527,11.396798133850098,10.019323348999023,0.901,0.901,11.5,11.5
84,63000,0.2566736340522766,0.14613530039787292,11.775984764099121,10.00904369354248,0.9,0.9,39.5,25.0
84,63000,0.10776117444038391,0.11003946512937546,12.20347785949707,10.468158721923828,0.9,0.9,39.5,25.0
84,63000,0.07410220056772232,0.10572844743728638,12.613848686218262,10.326994895935059,0.9,0.9,39.5,25.0
84,63000,0.10049313306808472,0.10244350135326385,12.059014320373535,10.346295356750488,0.9,0.9,39.5,25.0
