episode,elapsed_time,step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2
0,8.222,500,0.01317992527037859,0.02917962707579136,0.027199406176805496,0.03730844333767891,1.0,1.0,-34.5,-34.5
0,16.725,1000,0.008678626269102097,0.01515084970742464,0.0571037232875824,0.09035147726535797,1.0,1.0,-69.0,-69.0
0,25.113,1500,0.008588952012360096,0.005144585855305195,0.11391071230173111,0.18142400681972504,1.0,1.0,-105.0,-105.0
0,33.395,2000,0.0015730619197711349,0.0014908408047631383,0.20279361307621002,0.17245711386203766,1.0,1.0,-139.5,-138.0
0,41.769,2500,0.0016428126255050302,0.0007067924598231912,0.2063572108745575,0.3620537519454956,1.0,1.0,-174.0,-172.5
0,50.055,3000,0.000258584477705881,0.0009657859918661416,0.16753578186035156,0.26786065101623535,1.0,1.0,-210.0,-208.5
0,58.461,3500,0.0001451922726118937,0.0003591245040297508,0.23827344179153442,0.2944071888923645,1.0,1.0,-246.0,-244.5
0,66.876,4000,0.00015921170415822417,0.00011588334746193141,0.27206459641456604,0.38380956649780273,1.0,1.0,-272.5,-272.5
0,75.335,4500,0.0006799866678193212,8.89543880475685e-05,0.14470627903938293,0.3906106650829315,1.0,1.0,-282.5,-282.5
0,83.721,5000,0.0001778914884198457,0.00014255678979679942,0.34068360924720764,0.36359933018684387,1.0,1.0,-198.5,-239.0
1,5.712,5500,0.0012373932404443622,0.0006371691124513745,0.35382407903671265,0.32137978076934814,0.999,0.999,-25.5,-25.5
1,14.2,6000,0.0546351820230484,0.0002591798547655344,0.4779581129550934,0.4271218776702881,0.999,0.999,-58.5,-61.5
1,22.522,6500,0.03674875199794769,0.00015578753664158285,0.5304807424545288,0.5009491443634033,0.999,0.999,-73.5,-70.0
1,30.88,7000,0.0007180171087384224,0.0005385104450397193,0.5132219195365906,0.6100507974624634,0.999,0.999,-43.0,-46.0
2,0.488,7500,0.010709562338888645,0.0007788451039232314,0.7113636136054993,0.6408318281173706,0.998,0.998,-1.5,-3.0
2,8.843,8000,0.025672152638435364,0.002254367573186755,0.7959762811660767,0.6097710132598877,0.998,0.998,-37.5,-37.5
2,17.155,8500,0.03589675948023796,0.05576933175325394,0.694115161895752,0.783104658126831,0.998,0.998,-72.0,-73.5
2,25.493,9000,0.0023112015333026648,0.004163718316704035,0.8891645669937134,1.0169686079025269,0.998,0.998,-106.5,-108.0
