episode,epsilon_p1,epsilon_p2,score_p1,score_p2,opponent_ep
1,0.999,0.999,0,0,250
2,0.998,0.998,1,0,500
3,0.996,0.996,2,0,500
4,0.995,0.995,3,0,900
5,0.994,0.994,3,1,350
6,0.993,0.993,3,1,850
7,0.992,0.992,3,2,50
8,0.991,0.991,4,2,150
9,0.989,0.989,4,3,850
10,0.988,0.988,4,4,300
11,0.987,0.987,4,5,350
12,0.986,0.986,5,5,900
13,0.985,0.985,5,6,100
14,0.983,0.983,5,7,150
15,0.982,0.982,5,8,400
16,0.981,0.981,6,8,850
17,0.98,0.98,6,9,0
18,0.979,0.979,6,10,850
19,0.977,0.977,7,10,250
20,0.976,0.976,8,10,900
21,0.975,0.975,9,10,0
22,0.974,0.974,10,10,750
23,0.973,0.973,10,11,0
24,0.972,0.972,11,11,50
25,0.97,0.97,12,11,650
26,0.969,0.969,13,11,150
27,0.968,0.968,13,12,650
28,0.967,0.967,14,12,850
29,0.966,0.966,14,13,650
30,0.964,0.964,15,13,50
31,0.963,0.963,15,14,0
32,0.962,0.962,15,15,700
33,0.961,0.961,16,15,950
34,0.96,0.96,17,15,100
35,0.958,0.958,17,16,950
36,0.957,0.957,17,17,450
37,0.956,0.956,17,18,950
38,0.955,0.955,17,19,300
39,0.954,0.954,17,20,100
40,0.953,0.953,18,20,950
41,0.951,0.951,19,20,650
42,0.95,0.95,20,20,200
43,0.949,0.949,21,20,700
44,0.948,0.948,21,21,200
45,0.947,0.947,22,21,900
46,0.945,0.945,23,21,750
47,0.944,0.944,23,22,700
48,0.943,0.943,23,23,650
49,0.942,0.942,23,23,100
50,0.941,0.941,24,23,750
51,0.939,0.939,25,23,400
52,0.938,0.938,26,23,50
53,0.937,0.937,27,23,600
54,0.936,0.936,27,24,500
55,0.935,0.935,27,25,350
56,0.933,0.933,27,25,150
57,0.932,0.932,28,25,100
58,0.931,0.931,29,25,150
59,0.93,0.93,30,25,350
60,0.929,0.929,31,25,400
61,0.928,0.928,32,25,200
62,0.926,0.926,33,25,350
63,0.925,0.925,34,25,800
64,0.924,0.924,35,25,600
65,0.923,0.923,36,25,100
66,0.922,0.922,37,25,100
67,0.92,0.92,37,26,800
68,0.919,0.919,37,27,150
69,0.918,0.918,38,27,600
70,0.917,0.917,39,27,900
71,0.916,0.916,40,27,50
72,0.914,0.914,40,28,850
73,0.913,0.913,40,29,800
74,0.912,0.912,40,30,750
75,0.911,0.911,40,31,300
76,0.91,0.91,40,32,850
77,0.909,0.909,40,33,850
78,0.907,0.907,40,34,950
79,0.906,0.906,41,34,500
80,0.905,0.905,41,34,650
81,0.904,0.904,41,35,550
82,0.903,0.903,41,36,750
83,0.901,0.901,42,36,950
84,0.9,0.9,42,37,900
85,0.899,0.899,43,37,50
86,0.898,0.898,43,37,150
87,0.897,0.897,44,37,300
88,0.895,0.895,44,38,700
89,0.894,0.894,44,39,400
90,0.893,0.893,45,39,150
91,0.892,0.892,46,39,50
92,0.891,0.891,47,39,0
93,0.89,0.89,48,39,900
94,0.888,0.888,49,39,250
95,0.887,0.887,49,40,200
96,0.886,0.886,49,41,850
97,0.885,0.885,49,42,150
98,0.884,0.884,49,43,550
99,0.882,0.882,49,44,650
100,0.881,0.881,49,45,600
101,0.88,0.88,50,45,700
102,0.879,0.879,51,45,950
