episode,epsilon_p1,epsilon_p2,score_p1,score_p2,opponent_ep,episode_step
1,0.999,0.999,0,0,300,5514
2,0.998,0.998,0,1,950,3180
3,0.996,0.996,0,1,650,5511
4,0.995,0.995,1,1,900,4900
5,0.994,0.994,2,1,0,2609
6,0.993,0.993,3,1,300,1953
7,0.992,0.992,3,2,50,2689
8,0.991,0.991,3,3,850,5384
9,0.989,0.989,4,3,850,2335
10,0.988,0.988,4,4,0,4303
11,0.987,0.987,4,5,450,2277
12,0.986,0.986,5,5,400,4411
13,0.985,0.985,5,5,200,5534
14,0.983,0.983,6,5,850,3717
15,0.982,0.982,6,6,800,3169
16,0.981,0.981,7,6,850,5196
17,0.98,0.98,7,6,400,5524
18,0.979,0.979,7,6,750,5534
19,0.977,0.977,8,6,200,4433
20,0.976,0.976,8,7,350,4607
21,0.975,0.975,8,7,0,5511
22,0.974,0.974,8,8,950,5118
23,0.973,0.973,8,8,250,5532
24,0.972,0.972,9,8,100,2169
25,0.97,0.97,9,8,250,5528
26,0.969,0.969,9,9,450,3234
27,0.968,0.968,9,9,350,5527
28,0.967,0.967,10,9,500,4211
29,0.966,0.966,10,10,800,4173
30,0.964,0.964,10,10,200,5538
31,0.963,0.963,11,10,700,2492
32,0.962,0.962,12,10,850,2676
33,0.961,0.961,13,10,850,1235
34,0.96,0.96,13,11,450,1211
35,0.958,0.958,14,11,500,2049
36,0.957,0.957,14,12,700,2294
37,0.956,0.956,14,13,800,1836
38,0.955,0.955,14,14,750,3295
39,0.954,0.954,15,14,650,1841
40,0.953,0.953,15,14,600,5530
41,0.951,0.951,15,14,200,5547
42,0.95,0.95,15,15,200,1352
43,0.949,0.949,15,16,700,1831
44,0.948,0.948,16,16,800,2096
45,0.947,0.947,16,16,50,5535
46,0.945,0.945,16,17,650,2047
47,0.944,0.944,16,17,150,5529
48,0.943,0.943,16,17,600,5530
49,0.942,0.942,17,17,750,3862
50,0.941,0.941,17,18,700,1404
51,0.939,0.939,17,18,300,5535
52,0.938,0.938,17,18,300,5537
53,0.937,0.937,17,18,550,5528
54,0.936,0.936,17,19,200,2599
55,0.935,0.935,17,19,900,5530
56,0.933,0.933,18,19,0,2508
57,0.932,0.932,18,20,0,3466
58,0.931,0.931,18,21,800,2022
59,0.93,0.93,19,21,200,1760
60,0.929,0.929,19,22,650,1230
61,0.928,0.928,19,22,150,5536
62,0.926,0.926,19,22,50,5537
63,0.925,0.925,20,22,650,1310
64,0.924,0.924,21,22,850,1565
65,0.923,0.923,21,23,200,5277
66,0.922,0.922,22,23,0,2085
67,0.92,0.92,23,23,850,2118
68,0.919,0.919,24,23,750,4581
69,0.918,0.918,24,24,900,3434
70,0.917,0.917,24,24,150,5539
71,0.916,0.916,25,24,800,1518
72,0.914,0.914,25,24,550,5536
73,0.913,0.913,25,25,750,4583
74,0.912,0.912,25,25,900,5537
75,0.911,0.911,25,25,150,5534
76,0.91,0.91,26,25,350,1834
77,0.909,0.909,26,25,900,5525
78,0.907,0.907,26,26,850,1474
79,0.906,0.906,27,26,650,1352
80,0.905,0.905,27,27,450,2252
81,0.904,0.904,28,27,200,1848
82,0.903,0.903,29,27,450,2523
83,0.901,0.901,30,27,0,3275
84,0.9,0.9,31,27,200,2537
85,0.899,0.899,31,27,550,5523
86,0.898,0.898,32,27,850,1776
87,0.897,0.897,32,28,500,1843
88,0.895,0.895,32,29,450,1405
89,0.894,0.894,33,29,850,1828
90,0.893,0.893,34,29,850,1615
91,0.892,0.892,35,29,700,1801
92,0.891,0.891,35,30,850,1262
93,0.89,0.89,35,30,300,5536
94,0.888,0.888,35,30,600,5528
95,0.887,0.887,35,31,400,1786
96,0.886,0.886,35,32,350,1615
97,0.885,0.885,35,33,400,2429
98,0.884,0.884,35,33,50,5535
99,0.882,0.882,35,34,950,1403
100,0.881,0.881,36,34,100,1247
101,0.88,0.88,36,34,50,5538
102,0.879,0.879,36,35,200,1255
103,0.878,0.878,36,36,200,1627
104,0.877,0.877,36,37,650,1311
105,0.875,0.875,37,37,100,1490
106,0.874,0.874,37,38,550,2513
107,0.873,0.873,37,39,950,1258
108,0.872,0.872,38,39,950,1601
109,0.871,0.871,39,39,0,1227
110,0.869,0.869,40,39,650,1236
111,0.868,0.868,41,39,700,1417
112,0.867,0.867,42,39,0,1677
113,0.866,0.866,43,39,150,1301
114,0.865,0.865,43,40,350,1316
115,0.863,0.863,44,40,300,1126
116,0.862,0.862,44,41,950,1180
117,0.861,0.861,44,42,600,2316
118,0.86,0.86,45,42,700,1183
119,0.859,0.859,45,43,800,1493
120,0.858,0.858,45,43,0,5537
121,0.856,0.856,45,43,200,5533
122,0.855,0.855,46,43,700,1453
123,0.854,0.854,46,44,500,1384
124,0.853,0.853,46,45,100,1296
125,0.852,0.852,46,46,300,4567
126,0.85,0.85,47,46,850,1378
127,0.849,0.849,48,46,450,1065
128,0.848,0.848,49,46,500,1305
129,0.847,0.847,50,46,0,3897
130,0.846,0.846,50,46,200,5532
131,0.844,0.844,50,46,150,5540
132,0.843,0.843,50,46,600,5532
133,0.842,0.842,50,47,650,1192
134,0.841,0.841,51,47,300,1575
135,0.84,0.84,51,47,550,5495
136,0.839,0.839,51,48,850,1129
137,0.837,0.837,52,48,550,2433
138,0.836,0.836,52,49,100,1338
139,0.835,0.835,52,50,500,1404
140,0.834,0.834,53,50,250,1737
141,0.833,0.833,54,50,500,1259
142,0.831,0.831,54,51,450,1110
143,0.83,0.83,54,52,100,1229
144,0.829,0.829,55,52,800,1542
145,0.828,0.828,55,53,0,1373
146,0.827,0.827,56,53,350,1365
147,0.825,0.825,56,54,250,1572
148,0.824,0.824,57,54,850,1159
149,0.823,0.823,58,54,500,1135
150,0.822,0.822,58,54,600,5533
151,0.821,0.821,58,55,800,1270
152,0.82,0.82,59,55,750,4599
153,0.818,0.818,60,55,650,1190
154,0.817,0.817,60,55,50,5515
155,0.816,0.816,60,55,0,5538
156,0.815,0.815,60,55,550,5534
157,0.814,0.814,60,56,100,2819
158,0.812,0.812,60,56,300,5539
159,0.811,0.811,60,56,450,5534
160,0.81,0.81,60,57,850,1409
161,0.809,0.809,60,57,550,5523
162,0.808,0.808,60,57,450,5537
163,0.806,0.806,60,58,800,1545
164,0.805,0.805,60,58,50,5538
165,0.804,0.804,61,58,450,1969
166,0.803,0.803,61,59,850,1497
167,0.802,0.802,61,59,900,5511
168,0.8,0.8,61,60,450,2191
169,0.799,0.799,61,60,550,5527
170,0.798,0.798,62,60,750,2160
171,0.797,0.797,62,60,600,5512
172,0.796,0.796,62,61,950,1552
173,0.795,0.795,62,61,900,5531
174,0.793,0.793,62,61,550,5534
175,0.792,0.792,62,62,100,1325
176,0.791,0.791,62,62,600,5439
177,0.79,0.79,63,62,750,2675
178,0.789,0.789,63,62,600,5529
179,0.787,0.787,63,62,50,5536
180,0.786,0.786,64,62,500,1741
181,0.785,0.785,65,62,500,1584
182,0.784,0.784,65,63,950,1455
183,0.783,0.783,65,63,0,5536
184,0.781,0.781,65,63,50,5536
185,0.78,0.78,66,63,200,2069
186,0.779,0.779,66,64,200,1302
187,0.778,0.778,67,64,500,1384
188,0.777,0.777,67,64,550,5538
189,0.776,0.776,68,64,500,1390
190,0.774,0.774,68,64,600,5538
191,0.773,0.773,69,64,300,3245
192,0.772,0.772,69,64,900,5513
193,0.771,0.771,69,64,900,5536
194,0.77,0.77,69,64,900,5531
195,0.768,0.768,69,64,0,5541
196,0.767,0.767,69,65,650,1412
197,0.766,0.766,69,65,600,5530
198,0.765,0.765,69,66,150,2322
199,0.764,0.764,69,66,400,5540
200,0.762,0.762,69,67,0,1327
201,0.761,0.761,69,68,100,1275
202,0.76,0.76,69,68,400,5525
203,0.759,0.759,70,68,100,1327
204,0.758,0.758,70,68,350,5525
205,0.757,0.757,71,68,500,1211
206,0.755,0.755,72,68,800,1212
207,0.754,0.754,72,68,50,5529
208,0.753,0.753,72,68,50,5530
209,0.752,0.752,72,69,850,1322
210,0.751,0.751,72,70,100,1448
211,0.749,0.749,72,70,0,5521
212,0.748,0.748,73,70,100,1596
213,0.747,0.747,73,70,50,5534
214,0.746,0.746,74,70,850,1478
215,0.745,0.745,75,70,350,1095
216,0.744,0.744,75,71,800,1635
217,0.742,0.742,76,71,650,1095
218,0.741,0.741,76,71,50,5527
219,0.74,0.74,77,71,850,1098
220,0.739,0.739,77,71,0,5531
221,0.738,0.738,77,71,600,5528
222,0.736,0.736,78,71,700,1342
223,0.735,0.735,78,72,350,1363
224,0.734,0.734,79,72,700,1160
225,0.733,0.733,79,72,150,5519
226,0.732,0.732,79,72,150,5528
227,0.73,0.73,79,73,350,1410
228,0.729,0.729,80,73,500,1397
229,0.728,0.728,81,73,100,1375
230,0.727,0.727,81,74,700,1178
231,0.726,0.726,81,74,250,5536
232,0.725,0.725,82,74,300,1827
233,0.723,0.723,82,75,650,941
234,0.722,0.722,82,76,100,1474
235,0.721,0.721,82,77,450,1732
236,0.72,0.72,82,77,900,5541
237,0.719,0.719,82,78,150,1532
238,0.717,0.717,82,79,100,1292
239,0.716,0.716,82,80,150,1979
240,0.715,0.715,83,80,50,1496
241,0.714,0.714,83,81,250,1759
242,0.713,0.713,84,81,800,1167
243,0.711,0.711,85,81,950,1142
244,0.71,0.71,86,81,850,1133
245,0.709,0.709,86,82,100,1327
246,0.708,0.708,86,83,650,1552
247,0.707,0.707,86,84,350,1095
248,0.706,0.706,86,85,600,1740
249,0.704,0.704,86,86,150,3564
250,0.703,0.703,86,87,400,1751
251,0.702,0.702,86,88,950,1249
252,0.701,0.701,86,89,500,1073
253,0.7,0.7,87,89,150,4071
254,0.698,0.698,88,89,650,1178
255,0.697,0.697,89,89,800,1182
256,0.696,0.696,90,89,900,1501
257,0.695,0.695,90,90,200,1476
258,0.694,0.694,90,91,350,1362
259,0.692,0.692,90,92,550,4551
260,0.691,0.691,91,92,500,1333
261,0.69,0.69,92,92,850,1034
262,0.689,0.689,92,92,900,5523
263,0.688,0.688,93,92,750,1409
264,0.686,0.686,93,93,550,1617
265,0.685,0.685,93,94,600,1417
266,0.684,0.684,94,94,850,1386
267,0.683,0.683,94,95,750,1234
268,0.682,0.682,95,95,0,1592
269,0.681,0.681,95,95,400,5531
270,0.679,0.679,95,96,50,1071
271,0.678,0.678,95,97,250,1294
272,0.677,0.677,95,98,850,1148
273,0.676,0.676,95,99,550,1791
274,0.675,0.675,96,99,800,1244
275,0.673,0.673,96,100,100,1150
276,0.672,0.672,96,101,850,1048
277,0.671,0.671,96,101,300,5517
278,0.67,0.67,96,102,150,1310
279,0.669,0.669,97,102,850,1090
280,0.667,0.667,97,102,300,5533
281,0.666,0.666,97,103,100,1299
282,0.665,0.665,97,103,450,5533
283,0.664,0.664,97,104,250,1356
284,0.663,0.663,97,104,150,5506
285,0.662,0.662,98,104,550,1689
286,0.66,0.66,99,104,650,1024
287,0.659,0.659,99,105,550,1483
288,0.658,0.658,100,105,750,1321
289,0.657,0.657,100,106,100,1304
290,0.656,0.656,100,107,100,1139
291,0.654,0.654,100,108,0,1215
292,0.653,0.653,101,108,750,1259
293,0.652,0.652,102,108,850,1151
294,0.651,0.651,102,109,850,966
295,0.65,0.65,103,109,700,2297
296,0.649,0.649,103,110,550,1775
297,0.647,0.647,104,110,500,1456
298,0.646,0.646,104,110,900,5537
299,0.645,0.645,105,110,0,1562
300,0.644,0.644,106,110,750,1341
301,0.643,0.643,106,111,950,1217
302,0.641,0.641,107,111,150,1574
303,0.64,0.64,108,111,250,1280
304,0.639,0.639,108,111,200,5528
305,0.638,0.638,108,111,400,5540
306,0.637,0.637,108,111,350,5534
307,0.635,0.635,108,112,550,1787
308,0.634,0.634,109,112,750,1526
309,0.633,0.633,109,112,300,5533
310,0.632,0.632,110,112,850,1247
311,0.631,0.631,110,113,50,1519
312,0.629,0.629,110,114,50,1605
313,0.628,0.628,111,114,50,1278
314,0.627,0.627,111,114,900,5534
315,0.626,0.626,111,115,350,2713
316,0.625,0.625,111,116,700,2138
317,0.624,0.624,111,117,950,1283
318,0.622,0.622,111,118,150,2452
319,0.621,0.621,111,119,650,1609
320,0.62,0.62,111,119,600,5519
321,0.619,0.619,112,119,500,1213
322,0.618,0.618,112,120,800,1248
323,0.616,0.616,112,120,900,5529
324,0.615,0.615,112,121,400,987
325,0.614,0.614,112,121,400,5525
326,0.613,0.613,112,121,250,5527
327,0.612,0.612,112,121,200,5527
328,0.611,0.611,113,121,500,1126
329,0.609,0.609,113,122,100,1350
330,0.608,0.608,113,122,900,5528
331,0.607,0.607,114,122,500,1218
332,0.606,0.606,114,123,300,3321
333,0.605,0.605,114,124,100,1136
334,0.603,0.603,115,124,850,983
335,0.602,0.602,116,124,850,1193
336,0.601,0.601,116,124,200,5532
337,0.6,0.6,117,124,100,1150
338,0.599,0.599,118,124,850,1229
339,0.597,0.597,119,124,500,1149
340,0.596,0.596,120,124,700,1291
341,0.595,0.595,121,124,150,1853
342,0.594,0.594,122,124,750,1014
343,0.593,0.593,123,124,350,1098
344,0.592,0.592,123,125,700,1247
345,0.59,0.59,123,126,950,1406
346,0.589,0.589,123,127,950,1193
347,0.588,0.588,123,128,0,1380
348,0.587,0.587,123,128,350,5501
349,0.586,0.586,124,128,700,1361
350,0.584,0.584,124,129,950,1163
351,0.583,0.583,125,129,150,1703
352,0.582,0.582,125,130,250,2050
353,0.581,0.581,125,131,250,1516
354,0.58,0.58,125,132,100,1458
355,0.578,0.578,126,132,600,1315
356,0.577,0.577,126,132,450,5545
357,0.576,0.576,127,132,0,1226
358,0.575,0.575,127,133,700,1323
359,0.574,0.574,127,134,150,1362
360,0.573,0.573,127,134,900,5552
361,0.571,0.571,127,134,900,5553
362,0.57,0.57,127,135,850,1258
363,0.569,0.569,128,135,50,1416
364,0.568,0.568,128,136,750,1392
365,0.567,0.567,128,136,300,5550
366,0.565,0.565,128,137,50,1467
367,0.564,0.564,129,137,500,1152
368,0.563,0.563,129,137,400,5548
369,0.562,0.562,129,138,100,1214
370,0.561,0.561,129,139,650,1306
371,0.559,0.559,129,140,950,1465
372,0.558,0.558,129,141,150,1417
373,0.557,0.557,130,141,100,1328
374,0.556,0.556,131,141,50,1596
375,0.555,0.555,131,142,150,1484
376,0.554,0.554,132,142,450,1457
377,0.552,0.552,132,143,800,1055
378,0.551,0.551,133,143,950,1226
379,0.55,0.55,133,144,450,1256
380,0.549,0.549,134,144,200,1534
381,0.548,0.548,134,145,0,5325
382,0.546,0.546,134,146,200,2176
383,0.545,0.545,135,146,300,1444
384,0.544,0.544,135,147,650,1078
385,0.543,0.543,136,147,450,4122
386,0.542,0.542,136,147,450,5554
387,0.54,0.54,136,148,750,1270
388,0.539,0.539,136,149,300,1154
389,0.538,0.538,136,150,300,1120
390,0.537,0.537,137,150,700,1170
391,0.536,0.536,138,150,750,1187
392,0.534,0.534,138,150,900,4034
393,0.533,0.533,138,150,550,4465
394,0.532,0.532,138,151,100,1398
395,0.531,0.531,138,151,550,4320
396,0.53,0.53,139,151,500,1253
397,0.529,0.529,140,151,500,1257
398,0.527,0.527,140,152,300,1664
399,0.526,0.526,141,152,400,1721
400,0.525,0.525,142,152,500,1176
401,0.524,0.524,142,152,50,5520
402,0.523,0.523,142,152,900,5505
403,0.521,0.521,142,153,100,1213
404,0.52,0.52,142,153,150,5530
405,0.519,0.519,142,154,800,1359
406,0.518,0.518,143,154,800,1165
407,0.517,0.517,143,154,50,5516
408,0.516,0.516,143,154,600,5519
409,0.514,0.514,144,154,400,2754
410,0.513,0.513,144,155,200,1654
411,0.512,0.512,144,155,150,5536
412,0.511,0.511,144,155,550,5525
413,0.51,0.51,144,155,550,5535
414,0.508,0.508,144,156,800,1282
415,0.507,0.507,144,156,50,5526
416,0.506,0.506,145,156,350,1500
417,0.505,0.505,146,156,50,1647
418,0.504,0.504,147,156,750,1388
419,0.502,0.502,147,157,850,1205
420,0.501,0.501,147,157,300,5533
421,0.5,0.5,147,157,200,5530
422,0.499,0.499,147,158,150,2279
423,0.498,0.498,147,158,450,5526
424,0.497,0.497,148,158,950,1431
425,0.495,0.495,148,159,250,2280
426,0.494,0.494,148,159,450,5531
427,0.493,0.493,148,159,450,5522
428,0.492,0.492,148,160,0,3152
429,0.491,0.491,148,161,50,1310
430,0.489,0.489,148,161,200,5524
431,0.488,0.488,148,162,950,1701
432,0.487,0.487,148,162,450,5518
433,0.486,0.486,149,162,850,1222
434,0.485,0.485,150,162,950,1070
435,0.483,0.483,150,162,400,5524
436,0.482,0.482,150,162,900,5531
437,0.481,0.481,151,162,650,1397
438,0.48,0.48,151,162,450,5536
439,0.479,0.479,152,162,250,1699
440,0.478,0.478,152,162,300,5526
441,0.476,0.476,153,162,350,1753
442,0.475,0.475,153,163,550,1601
443,0.474,0.474,154,163,600,1449
444,0.473,0.473,155,163,550,1402
445,0.472,0.472,155,164,150,1425
446,0.47,0.47,156,164,550,1301
447,0.469,0.469,156,165,0,1530
448,0.468,0.468,156,166,100,1180
449,0.467,0.467,156,166,250,5539
450,0.466,0.466,157,166,450,1201
451,0.464,0.464,157,167,550,1791
452,0.463,0.463,158,167,700,1067
453,0.462,0.462,158,168,100,1177
454,0.461,0.461,158,169,300,1147
455,0.46,0.46,158,170,100,1255
456,0.459,0.459,158,170,900,5525
457,0.457,0.457,158,171,600,2258
458,0.456,0.456,159,171,100,1368
459,0.455,0.455,160,171,950,1172
460,0.454,0.454,161,171,300,1617
461,0.453,0.453,161,171,250,5515
462,0.451,0.451,161,171,600,5518
463,0.45,0.45,161,172,700,1242
464,0.449,0.449,161,172,250,5524
465,0.448,0.448,162,172,500,1252
466,0.447,0.447,163,172,950,1065
467,0.445,0.445,163,173,850,1276
468,0.444,0.444,163,173,50,5529
469,0.443,0.443,163,173,250,5517
470,0.442,0.442,164,173,350,1276
471,0.441,0.441,164,174,300,1854
472,0.44,0.44,164,174,150,5526
473,0.438,0.438,165,174,850,1253
474,0.437,0.437,165,175,100,1463
475,0.436,0.436,166,175,500,1363
476,0.435,0.435,167,175,350,1638
477,0.434,0.434,167,176,650,1106
478,0.432,0.432,168,176,350,1300
479,0.431,0.431,168,177,850,1348
480,0.43,0.43,169,177,350,1229
481,0.429,0.429,170,177,650,1124
482,0.428,0.428,171,177,300,1592
483,0.426,0.426,171,178,200,1699
484,0.425,0.425,171,179,700,1153
485,0.424,0.424,172,179,700,1118
486,0.423,0.423,172,179,600,5531
487,0.422,0.422,172,180,400,1551
488,0.42,0.42,172,181,100,1505
489,0.419,0.419,173,181,700,1111
490,0.418,0.418,173,182,200,1426
491,0.417,0.417,173,182,0,5519
492,0.416,0.416,173,182,150,5536
493,0.415,0.415,174,182,700,1068
494,0.413,0.413,175,182,650,1099
495,0.412,0.412,175,182,450,5521
496,0.411,0.411,176,182,700,1216
497,0.41,0.41,176,182,150,5506
498,0.409,0.409,177,182,200,1113
499,0.407,0.407,177,183,850,1091
500,0.406,0.406,178,183,350,1194
501,0.405,0.405,178,183,400,5533
502,0.404,0.404,178,183,900,5520
503,0.403,0.403,179,183,700,1154
504,0.402,0.402,179,183,300,5532
505,0.4,0.4,180,183,750,1459
506,0.399,0.399,180,183,550,5523
507,0.398,0.398,180,184,100,1474
508,0.397,0.397,180,184,250,5526
509,0.396,0.396,181,184,200,1916
510,0.394,0.394,182,184,800,1150
511,0.393,0.393,182,185,100,1344
512,0.392,0.392,183,185,800,1487
513,0.391,0.391,184,185,500,1223
514,0.39,0.39,184,185,550,5532
515,0.388,0.388,184,185,900,5517
516,0.387,0.387,185,185,700,1294
517,0.386,0.386,185,185,550,5526
518,0.385,0.385,185,185,900,5529
519,0.384,0.384,186,185,450,3326
520,0.383,0.383,186,185,900,5524
521,0.381,0.381,186,185,50,5527
522,0.38,0.38,187,185,650,1181
523,0.379,0.379,188,185,650,1134
524,0.378,0.378,188,186,650,1151
