episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
1,0.999,0.999,0,1,1805,-1.1875244476935751,-1.1292111421599171,600,1805,0.0001
2,0.999,0.999,0,2,5479,-0.2919777939873647,-0.28973432325333787,550,5479,0.0001
3,0.998,0.998,0,3,2732,-0.5138241289468364,-0.5120233475620949,700,2732,0.0001
4,0.997,0.997,0,4,3008,-0.6579013982136283,-0.6372141805006588,500,3008,0.0001
5,0.997,0.997,1,4,2838,-0.5323237669988286,-0.5366380482580718,500,2838,0.0001
6,0.996,0.996,1,5,2048,-0.5761925342248534,-0.5729745909068948,700,2048,0.0001
7,0.996,0.996,1,5,5566,-0.3009948951709014,-0.29992791133237034,850,5566,0.0001
8,0.995,0.995,1,6,2221,-0.6840828235535419,-0.672253023660007,800,2221,0.0001
9,0.994,0.994,2,6,1821,-0.5871231310018505,-0.5856440742715212,50,1821,0.0001
10,0.994,0.994,2,6,5564,-0.25769994358318443,-0.25797071333945826,100,5564,0.0001
11,0.993,0.993,2,7,2203,-0.6486106914607256,-0.6407704103801135,500,2203,0.0001
12,0.992,0.992,3,7,5561,-0.16927766860084986,-0.16786699623332635,850,5561,0.0001
13,0.992,0.992,3,8,1414,-0.776281711938726,-0.7400938909730985,450,1414,0.0001
14,0.991,0.991,4,8,3062,-0.48232968933870546,-0.485694280309777,550,3062,0.0001
15,0.991,0.991,4,9,2918,-0.5386043031690616,-0.5430636498855425,950,2918,0.0001
16,0.99,0.99,5,9,1912,-0.6591043050012051,-0.6597288252418613,750,1912,0.0001
17,0.989,0.989,5,9,5546,-0.24171595265624105,-0.23542764517759912,800,5546,0.0001
18,0.989,0.989,5,9,4463,-0.30636167897721683,-0.30618585815508664,900,4463,0.0001
19,0.988,0.988,5,10,947,-0.42423180844598934,-0.4315016574701896,550,947,0.0001
20,0.987,0.987,5,11,2341,-0.2826315574818803,-0.28829994033283696,50,2341,0.0001
21,0.987,0.987,5,11,4543,-0.41719064804060413,-0.41721118723832085,700,4543,0.0001
22,0.986,0.986,5,11,4313,-0.3994179419497746,-0.39793850422530586,500,4313,0.0001
23,0.985,0.985,5,12,1996,-0.6643683824479228,-0.6373577982542858,350,1996,0.0001
24,0.985,0.985,6,12,2378,-0.3683629556334772,-0.3705264355363455,850,2378,0.0001
25,0.984,0.984,7,12,1550,-0.5576783160184027,-0.551889186910181,750,1550,0.0001
