episode,step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,opponent_ep
0,500,0.0,0.08113086968660355,0.0,8.610962867736816,0.0,1.0,-13.5,-36.0,250
0,1000,0.0,0.0824689045548439,0.0,8.416951179504395,0.0,1.0,-25.5,-69.0,250
0,1500,0.0,0.10430839657783508,0.0,8.157750129699707,0.0,1.0,-42.0,-105.0,250
0,2000,0.0,0.10692267119884491,0.0,8.28703498840332,0.0,1.0,-54.0,-139.5,250
0,2500,0.0,0.12305016815662384,0.0,8.47930908203125,0.0,1.0,-66.0,-174.0,250
0,3000,0.0,0.07359874248504639,0.0,8.83932113647461,0.0,1.0,-81.0,-208.5,250
0,3500,0.0,0.11233145743608475,0.0,8.57443904876709,0.0,1.0,-93.0,-244.5,250
0,4000,0.0,0.13636650145053864,0.0,8.749780654907227,0.0,1.0,-100.5,-280.5,250
0,4500,0.0,0.06176921725273132,0.0,9.039883613586426,0.0,1.0,-105.0,-316.5,250
1,5000,0.0,0.07343810796737671,0.0,9.000260353088379,0.999,0.999,-25.5,-27.0,500
1,5500,0.0,0.07427369058132172,0.0,8.802122116088867,0.999,0.999,-61.5,-61.5,500
1,6000,0.0,0.05682643875479698,0.0,8.73813247680664,0.999,0.999,-96.0,-97.5,500
1,6500,0.0,0.11251693964004517,0.0,9.303055763244629,0.999,0.999,-132.0,-133.5,500
1,7000,0.0,0.08742689341306686,0.0,8.928926467895508,0.999,0.999,-166.5,-166.5,500
2,7500,0.0,0.1598893105983734,0.0,9.400251388549805,0.998,0.998,-9.0,-9.0,500
2,8000,0.0,0.0909496620297432,0.0,9.0974702835083,0.998,0.998,-43.5,-43.5,500
2,8500,0.0,0.09559963643550873,0.0,10.12427806854248,0.998,0.998,-57.0,-73.75,500
3,9000,0.0,0.11564067751169205,0.0,10.455634117126465,0.996,0.996,-13.5,-13.5,900
3,9500,0.0,0.13327588140964508,0.0,9.588719367980957,0.996,0.996,-48.0,-46.5,900
3,10000,0.0,0.09290454536676407,0.0,10.248748779296875,0.996,0.996,-84.0,-81.0,900
3,10500,0.0,0.10170682519674301,0.0,10.233695983886719,0.996,0.996,-118.5,-115.5,900
3,11000,0.0,0.09395059943199158,0.0,10.75333023071289,0.996,0.996,-153.0,-150.0,900
3,11500,0.0,0.07912228256464005,0.0,10.73410415649414,0.996,0.996,-176.0,-179.5,900
3,12000,0.0,0.11203392595052719,0.0,11.23066234588623,0.996,0.996,-210.5,-214.0,900
3,12500,0.0,0.1275760978460312,0.0,10.324130058288574,0.996,0.996,-245.0,-248.5,900
4,13000,0.0,0.12451756000518799,0.0,11.653888702392578,0.995,0.995,-21.0,-21.0,350
4,13500,0.0,0.07904988527297974,0.0,10.484737396240234,0.995,0.995,-57.0,-57.0,350
4,14000,0.0,0.0779452994465828,0.0,10.475664138793945,0.995,0.995,-91.5,-91.5,350
4,14500,0.0,0.09475581347942352,0.0,10.476203918457031,0.995,0.995,-126.0,-124.5,350
4,15000,0.0,0.06950388848781586,0.0,10.132684707641602,0.995,0.995,-162.0,-159.0,350
4,15500,0.0,0.08859217911958694,0.0,10.803253173828125,0.995,0.995,-196.5,-195.0,350
4,16000,0.0,0.06920261681079865,0.0,11.074965476989746,0.995,0.995,-185.5,-207.0,350
5,16500,0.0,0.10492529720067978,0.0,11.308391571044922,0.994,0.994,-13.5,-13.5,850
5,17000,0.0,0.13059087097644806,0.0,11.061365127563477,0.994,0.994,-49.5,-48.0,850
5,17500,0.0,0.07475519925355911,0.0,11.209508895874023,0.994,0.994,-84.0,-84.0,850
5,18000,0.0,0.09627499431371689,0.0,10.491928100585938,0.994,0.994,-118.5,-118.5,850
5,18500,0.0,0.08287131041288376,0.0,10.98199462890625,0.994,0.994,-154.5,-154.5,850
5,19000,0.0,0.053474992513656616,0.0,10.32814884185791,0.994,0.994,-189.0,-189.0,850
5,19500,0.0,0.10177191346883774,0.0,10.549560546875,0.994,0.994,-223.5,-223.5,850
5,20000,0.0,0.05923222750425339,0.0,11.033524513244629,0.994,0.994,-259.5,-259.5,850
5,20500,0.0,0.11031607538461685,0.0,11.136625289916992,0.994,0.994,-294.0,-294.0,850
6,21000,0.0,0.08758005499839783,0.0,11.218926429748535,0.993,0.993,-8.0,-6.25,50
6,21500,0.0,0.0939290001988411,0.0,10.902252197265625,0.993,0.993,-10.0,-22.25,50
7,22000,0.0,0.09037603437900543,0.0,10.920869827270508,0.992,0.992,-7.0,-12.0,150
8,22500,0.0,0.08168883621692657,0.0,11.607357025146484,0.991,0.991,-18.0,-18.0,850
8,23000,0.0,0.14636731147766113,0.0,11.085033416748047,0.991,0.991,-39.5,-35.75,850
9,23500,0.0,0.15652188658714294,0.0,12.130736351013184,0.989,0.989,-11.0,-17.5,300
10,24000,0.0,0.14094460010528564,0.0,12.524262428283691,0.988,0.988,-19.5,-19.5,350
10,24500,0.0,0.14473390579223633,0.0,12.203447341918945,0.988,0.988,-33.0,-38.25,350
11,25000,0.0,0.10683515667915344,0.0,13.811954498291016,0.987,0.987,-21.0,-22.5,900
12,25500,0.0,0.10398848354816437,0.0,12.775617599487305,0.986,0.986,0.0,-1.5,100
12,26000,0.0,0.1334274560213089,0.0,14.026649475097656,0.986,0.986,-10.0,-2.75,100
13,26500,0.0,0.12275565415620804,0.0,12.529708862304688,0.985,0.985,-17.0,-17.0,150
14,27000,0.0,0.09107723087072372,0.0,13.563114166259766,0.983,0.983,-18.0,-16.5,400
14,27500,0.0,0.21264244616031647,0.0,15.37496280670166,0.983,0.983,-26.5,-25.5,400
15,28000,0.0,0.1679939180612564,0.0,16.065776824951172,0.982,0.982,-1.0,-0.25,850
15,28500,0.0,0.1508062779903412,0.0,16.086570739746094,0.982,0.982,-37.0,-34.75,850
15,29000,0.0,0.10454729199409485,0.0,16.400806427001953,0.982,0.982,-71.5,-69.25,850
16,29500,0.0,0.10039694607257843,0.0,15.9890718460083,0.981,0.981,-15.0,-15.0,0
16,30000,0.0,0.0987611636519432,0.0,16.6082763671875,0.981,0.981,-49.5,-51.0,0
16,30500,0.0,0.12110061198472977,0.0,16.566577911376953,0.981,0.981,-84.0,-85.5,0
16,31000,0.0,0.12423837929964066,0.0,16.17881965637207,0.981,0.981,-120.0,-121.5,0
17,31500,0.0,0.1550249606370926,0.0,17.278274536132812,0.98,0.98,-6.0,-7.5,850
17,32000,0.0,0.09386792033910751,0.0,15.976341247558594,0.98,0.98,-42.0,-43.5,850
17,32500,0.0,0.1554543823003769,0.0,16.636539459228516,0.98,0.98,-23.0,-26.0,850
18,33000,0.0,0.17104791104793549,0.0,16.3590087890625,0.979,0.979,-34.5,-34.5,250
18,33500,0.0,0.1550041139125824,0.0,16.25387191772461,0.979,0.979,-69.0,-69.0,250
18,34000,0.0,0.1328774094581604,0.0,15.149222373962402,0.979,0.979,-103.5,-105.0,250
18,34500,0.0,0.10405558347702026,0.0,15.519584655761719,0.979,0.979,-118.5,-119.25,250
19,35000,0.0,0.15870465338230133,0.0,15.775330543518066,0.977,0.977,-25.5,-24.0,900
20,35500,0.0,0.08096423745155334,0.0,16.355573654174805,0.976,0.976,-4.5,-6.0,0
21,36000,0.0,0.06613926589488983,0.0,15.692445755004883,0.975,0.975,-1.5,-1.5,750
21,36500,0.0,0.06962272524833679,0.0,14.333417892456055,0.975,0.975,-36.0,-36.0,750
21,37000,0.0,0.16309043765068054,0.0,16.803321838378906,0.975,0.975,-70.5,-72.0,750
22,37500,0.0,0.08629000186920166,0.0,15.038185119628906,0.974,0.974,-12.0,-12.0,0
22,38000,0.0,0.07396120578050613,0.0,15.810323715209961,0.974,0.974,7.0,0.5,0
23,38500,0.0,0.1093674749135971,0.0,14.108251571655273,0.973,0.973,-36.0,-36.0,50
24,39000,0.0,0.14957447350025177,0.0,15.558422088623047,0.972,0.972,-1.5,0.0,650
24,39500,0.0,0.13448603451251984,0.0,15.57167911529541,0.972,0.972,-23.0,-36.0,650
25,40000,0.0,0.0869823470711708,0.0,15.477991104125977,0.97,0.97,-22.5,-22.5,150
25,40500,0.0,0.06718433648347855,0.0,14.791366577148438,0.97,0.97,-55.5,-57.0,150
25,41000,0.0,0.04946029558777809,0.0,15.03265380859375,0.97,0.97,-51.0,-50.25,150
26,41500,0.0,0.24401693046092987,0.0,15.767151832580566,0.969,0.969,-20.5,-19.75,650
27,42000,0.0,0.0690203458070755,0.0,16.205663681030273,0.968,0.968,2.0,-1.0,850
28,42500,0.0,0.3401217460632324,0.0,15.904095649719238,0.967,0.967,-1.0,-9.75,650
29,43000,0.0,0.050200022757053375,0.0,15.613690376281738,0.966,0.966,13.5,4.0,50
30,43500,0.0,0.07109901309013367,0.0,15.388150215148926,0.964,0.964,-27.0,-27.0,0
30,44000,0.0,0.10791812837123871,0.0,16.69744873046875,0.964,0.964,-61.5,-61.5,0
30,44500,0.0,0.06058240309357643,0.0,16.41458511352539,0.964,0.964,-97.5,-96.0,0
31,45000,0.0,0.1258796751499176,0.0,16.234949111938477,0.963,0.963,-1.5,-1.5,700
31,45500,0.0,0.326962947845459,0.0,17.213483810424805,0.963,0.963,-36.0,-36.0,700
31,46000,0.0,0.05406064912676811,0.0,15.762495040893555,0.963,0.963,-70.5,-70.5,700
31,46500,0.0,0.11458095908164978,0.0,17.872314453125,0.963,0.963,-59.5,-64.75,700
32,47000,0.0,0.0785551592707634,0.0,15.882072448730469,0.962,0.962,25.5,15.5,950
33,47500,0.0,0.10775867849588394,0.0,18.05771827697754,0.961,0.961,15.5,-5.75,100
34,48000,0.0,0.12126382440328598,0.0,16.801488876342773,0.96,0.96,-10.5,-8.5,950
35,48500,0.0,0.2753281593322754,0.0,18.415119171142578,0.958,0.958,-22.5,-21.0,450
35,49000,0.0,0.0811641737818718,0.0,17.015350341796875,0.958,0.958,-18.0,-13.25,450
36,49500,0.0,0.06633288413286209,0.0,17.216798782348633,0.957,0.957,-28.5,-30.0,950
36,50000,0.0,0.12748639285564423,0.0,17.664216995239258,0.957,0.957,-64.5,-64.5,950
36,50500,0.0,0.15279437601566315,0.0,17.812517166137695,0.957,0.957,-97.5,-99.0,950
36,51000,0.0,0.06579077243804932,0.0,16.11881446838379,0.957,0.957,-127.0,-121.5,950
37,51500,0.0,0.04199119657278061,0.0,16.8345947265625,0.956,0.956,-3.0,-4.5,300
37,52000,0.0,0.05776924639940262,0.0,15.590789794921875,0.956,0.956,-18.0,-9.25,300
39,52500,0.0,0.15380921959877014,0.0,17.111679077148438,0.954,0.954,-9.0,-9.0,950
39,53000,0.0,0.06723105907440186,0.0,16.5793514251709,0.954,0.954,2.0,-31.25,950
40,53500,0.0,0.08782076090574265,0.0,15.986998558044434,0.953,0.953,-31.5,-31.5,650
41,54000,0.0,0.11333850771188736,0.0,16.287811279296875,0.951,0.951,3.0,-3.5,200
42,54500,0.0,0.19247478246688843,0.0,16.820913314819336,0.95,0.95,-22.5,-22.5,700
42,55000,0.0,0.10490987449884415,0.0,18.52509117126465,0.95,0.95,-44.0,-44.75,700
43,55500,0.0,0.07314036041498184,0.0,16.281274795532227,0.949,0.949,-16.5,-16.5,200
43,56000,0.0,0.1575360894203186,0.0,16.9884033203125,0.949,0.949,-49.5,-45.25,200
43,56500,0.0,0.1284552812576294,0.0,19.109590530395508,0.949,0.949,-71.0,-67.5,200
44,57000,0.0,0.09468217939138412,0.0,17.73581314086914,0.948,0.948,-16.5,-15.0,900
44,57500,0.0,0.12821011245250702,0.0,16.8801326751709,0.948,0.948,-30.0,-30.25,900
45,58000,0.0,0.13444258272647858,0.0,16.698190689086914,0.947,0.947,-10.5,-10.5,750
46,58500,0.0,0.06312553584575653,0.0,17.018739700317383,0.945,0.945,-7.5,-7.5,700
46,59000,0.0,0.10002899914979935,0.0,16.989479064941406,0.945,0.945,-27.5,-24.5,700
47,59500,0.0,0.10852277278900146,0.0,16.733644485473633,0.944,0.944,-19.5,-21.0,650
48,60000,0.0,0.11557258665561676,0.0,17.756166458129883,0.943,0.943,-1.5,-1.5,100
48,60500,0.0,0.09000910073518753,0.0,18.474477767944336,0.943,0.943,3.0,-29.0,100
48,61000,0.0,0.11079714447259903,0.0,20.11915397644043,0.943,0.943,-31.5,-62.0,100
48,61500,0.0,0.06470847129821777,0.0,21.686676025390625,0.943,0.943,-66.0,-98.0,100
48,62000,0.0,0.04628986865282059,0.0,21.776966094970703,0.943,0.943,-102.0,-132.5,100
48,62500,0.0,0.0687193050980568,0.0,23.696992874145508,0.943,0.943,-136.5,-165.5,100
48,63000,0.0,0.10478875041007996,0.0,28.88922882080078,0.943,0.943,-171.0,-201.5,100
48,63500,0.0,0.12648306787014008,0.0,28.211456298828125,0.943,0.943,-205.5,-237.5,100
48,64000,0.0,0.1610458493232727,0.0,30.521041870117188,0.943,0.943,-240.0,-272.0,100
48,64500,0.0,0.29264307022094727,0.0,33.587486267089844,0.943,0.943,-276.0,-308.0,100
49,65000,0.0,0.1904337853193283,0.0,37.769859313964844,0.942,0.942,-6.0,-6.0,750
50,65500,0.0,0.205624520778656,0.0,31.20455551147461,0.941,0.941,7.5,5.25,400
51,66000,0.0,0.17039968073368073,0.0,31.64258575439453,0.939,0.939,14.0,13.25,50
52,66500,0.0,0.15792231261730194,0.0,33.491729736328125,0.938,0.938,-2.5,-16.25,600
53,67000,0.0,0.17980410158634186,0.0,34.18181610107422,0.937,0.937,-24.0,-25.5,500
53,67500,0.0,0.09208834916353226,0.0,33.603145599365234,0.937,0.937,-60.0,-60.0,500
53,68000,0.0,0.16552326083183289,0.0,33.16140365600586,0.937,0.937,-94.5,-94.5,500
53,68500,0.0,0.15197740495204926,0.0,30.620616912841797,0.937,0.937,-129.0,-129.0,500
53,69000,0.0,0.11582107096910477,0.0,29.052509307861328,0.937,0.937,-144.0,-138.25,500
54,69500,0.0,0.13165690004825592,0.0,31.534812927246094,0.936,0.936,-27.0,-25.5,350
54,70000,0.0,0.19675059616565704,0.0,29.219074249267578,0.936,0.936,-55.0,-46.75,350
54,70500,0.0,0.1610143929719925,0.0,29.14535903930664,0.936,0.936,-83.0,-74.5,350
55,71000,0.0,0.15234701335430145,0.0,29.807090759277344,0.935,0.935,20.0,20.0,150
55,71500,0.0,0.16311141848564148,0.0,28.013038635253906,0.935,0.935,-16.0,-14.5,150
55,72000,0.0,0.14352291822433472,0.0,31.288679122924805,0.935,0.935,-52.0,-47.5,150
55,72500,0.0,0.14159539341926575,0.0,26.082975387573242,0.935,0.935,-86.5,-83.5,150
55,73000,0.0,0.17189647257328033,0.0,21.565006256103516,0.935,0.935,-122.5,-118.0,150
55,73500,0.0,0.09472503513097763,0.0,22.317922592163086,0.935,0.935,-157.0,-152.5,150
55,74000,0.0,0.13349109888076782,0.0,22.988107681274414,0.935,0.935,-193.0,-187.0,150
55,74500,0.0,0.21776428818702698,0.0,21.682954788208008,0.935,0.935,-227.5,-221.5,150
55,75000,0.0,0.20159585773944855,0.0,25.893266677856445,0.935,0.935,-262.0,-256.0,150
55,75500,0.0,0.18456274271011353,0.0,22.784570693969727,0.935,0.935,-298.0,-292.0,150
57,76000,0.0,0.16431273519992828,0.0,26.60446548461914,0.932,0.932,-1.5,-3.0,150
58,76500,0.0,0.2225167155265808,0.0,24.958480834960938,0.931,0.931,-13.5,-12.0,350
58,77000,0.0,0.1399700939655304,0.0,21.71661949157715,0.931,0.931,-35.0,-33.5,350
58,77500,0.0,0.14234952628612518,0.0,24.33015251159668,0.931,0.931,-69.5,-68.0,350
59,78000,0.0,0.2007507085800171,0.0,23.863876342773438,0.93,0.93,8.0,-6.5,400
60,78500,0.0,0.20665718615055084,0.0,23.199462890625,0.929,0.929,-18.0,-18.0,200
61,79000,0.0,0.1967955380678177,0.0,25.59266471862793,0.928,0.928,-6.0,-6.0,350
62,79500,0.0,0.20003531873226166,0.0,26.368932723999023,0.926,0.926,-6.0,-6.0,800
63,80000,0.0,0.17034979164600372,0.0,24.025657653808594,0.925,0.925,-1.0,-1.0,600
64,80500,0.0,0.22921280562877655,0.0,25.677616119384766,0.924,0.924,-5.5,0.25,100
65,81000,0.0,0.14601191878318787,0.0,23.889598846435547,0.923,0.923,-21.0,-21.0,100
66,81500,0.0,0.11476846039295197,0.0,22.067718505859375,0.922,0.922,8.0,-1.25,800
68,82000,0.0,0.18792621791362762,0.0,23.441303253173828,0.919,0.919,3.0,-10.75,600
69,82500,0.0,0.36667728424072266,0.0,22.043033599853516,0.918,0.918,-19.0,-19.75,900
70,83000,0.0,0.1807350516319275,0.0,22.75473976135254,0.917,0.917,37.5,20.75,50
72,83500,0.0,0.16478942334651947,0.0,24.796127319335938,0.914,0.914,7.5,6.75,800
73,84000,0.0,0.1810617446899414,0.0,21.39682388305664,0.913,0.913,-25.5,-25.5,750
74,84500,0.0,0.10615622997283936,0.0,20.051729202270508,0.912,0.912,-10.5,-0.25,300
76,85000,0.0,0.15509825944900513,0.0,19.25836944580078,0.91,0.91,-1.5,-1.5,850
77,85500,0.0,0.1474483758211136,0.0,19.253084182739258,0.909,0.909,-3.0,-3.0,950
78,86000,0.0,0.08808591961860657,0.0,16.301267623901367,0.907,0.907,-6.0,-6.0,500
79,86500,0.0,0.16312530636787415,0.0,17.454065322875977,0.906,0.906,-5.5,-5.5,650
79,87000,0.0,0.12911950051784515,0.0,19.27326202392578,0.906,0.906,-28.5,-31.25,650
79,87500,0.0,0.15102532505989075,0.0,20.613922119140625,0.906,0.906,-63.0,-64.25,650
79,88000,0.0,0.3057379722595215,0.0,21.014638900756836,0.906,0.906,-97.5,-100.25,650
79,88500,0.0,0.3866831660270691,0.0,20.227664947509766,0.906,0.906,-130.5,-136.25,650
79,89000,0.0,0.1529766470193863,0.0,21.814777374267578,0.906,0.906,-166.5,-170.75,650
79,89500,0.0,0.13923358917236328,0.0,19.20256233215332,0.906,0.906,-199.5,-205.25,650
79,90000,0.0,0.13069260120391846,0.0,19.872591018676758,0.906,0.906,-234.0,-238.25,650
79,90500,0.0,0.32167962193489075,0.0,21.86534309387207,0.906,0.906,-268.5,-272.75,650
79,91000,0.0,0.22088731825351715,0.0,21.80258560180664,0.906,0.906,-303.0,-308.75,650
80,91500,0.0,0.2890204191207886,0.0,22.850770950317383,0.905,0.905,-9.0,-9.0,550
81,92000,0.0,0.34902361035346985,0.0,22.971101760864258,0.904,0.904,24.5,23.5,750
83,92500,0.0,0.21277651190757751,0.0,22.95584487915039,0.901,0.901,-1.5,-1.5,900
84,93000,0.0,0.24623630940914154,0.0,21.324201583862305,0.9,0.9,-10.5,-10.5,50
