episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,opponent_ep
0,623,0.0,0.0064255474135279655,0.0,3.5450284481048584,0.0,1.0,33.017599177253345,-0.434020166819141,300
0,1123,0.0,0.06931040436029434,0.0,3.489626407623291,0.0,1.0,33.017599177253345,-45.02636526411838,300
0,1623,0.0,0.02962806075811386,0.0,3.1815176010131836,0.0,1.0,33.017599177253345,-87.61979420594908,300
0,2123,0.0,0.006299220956861973,0.0,3.3016042709350586,0.0,1.0,33.017599177253345,-126.42934498185451,300
0,2623,0.0,0.004689253866672516,0.0,3.2474567890167236,0.0,1.0,33.017599177253345,-159.93350803118648,300
0,3123,0.0,0.03174537792801857,0.0,3.6539626121520996,0.0,1.0,33.017599177253345,-174.92705522568897,300
0,3623,0.0,0.06671116501092911,0.0,3.9227962493896484,0.0,1.0,33.017599177253345,-184.48954971726275,300
0,4123,0.0,0.016132688149809837,0.0,4.132589817047119,0.0,1.0,33.017599177253345,-201.3010971081663,300
0,4623,0.0,0.025095485150814056,0.0,3.7371139526367188,0.0,1.0,33.017599177253345,-227.71565244849538,300
0,5123,0.0,0.10071554034948349,0.0,3.784669876098633,0.0,1.0,33.017599177253345,-259.2488498880619,300
1,231,0.0,0.0033553852699697018,0.0,3.8115692138671875,0.999,0.999,-11.923396569466739,-9.937522325663702,950
1,731,0.0,0.009690186940133572,0.0,4.101630687713623,0.999,0.999,-29.421739511385073,-29.74347038955476,950
1,1231,0.0,0.01475339476019144,0.0,3.8068833351135254,0.999,0.999,-25.301440559743043,-25.94709716286856,950
1,1731,0.0,0.009866916574537754,0.0,3.684541702270508,0.999,0.999,-39.83486921030862,-42.20073270805555,950
1,2231,0.0,0.032507479190826416,0.0,3.846508502960205,0.999,0.999,-77.86519123985944,-81.73549502754491,950
1,2731,0.0,0.029305966570973396,0.0,4.254665374755859,0.999,0.999,-104.19643484625435,-109.05714838089253,950
2,295,0.0,0.013157041743397713,0.0,3.871826171875,0.998,0.998,-17.87386487486468,-15.890291675314348,650
2,795,0.0,0.033849120140075684,0.0,3.8355064392089844,0.998,0.998,-61.175795464797396,-61.15722846186307,650
2,1295,0.0,0.030476577579975128,0.0,4.6446943283081055,0.998,0.998,-107.13414551117133,-105.18922371795277,650
2,1795,0.0,0.0027079228311777115,0.0,4.799747943878174,0.998,0.998,-121.63402791756961,-95.92589813619493,650
2,2295,0.0,0.00399317080155015,0.0,3.909182548522949,0.998,0.998,-133.70122679028992,-117.82569910345815,650
2,2795,0.0,0.041929859668016434,0.0,4.3885698318481445,0.998,0.998,-165.42089140075288,-150.99111442849176,650
2,3295,0.0,0.01080569438636303,0.0,4.782570838928223,0.998,0.998,-191.93838454267663,-177.43874912791864,650
2,3795,0.0,0.03397997096180916,0.0,4.496731758117676,0.998,0.998,-215.33877041646406,-200.81522875874515,650
2,4295,0.0,0.07926523685455322,0.0,4.586066722869873,0.998,0.998,-240.4178303009621,-225.89116966797195,650
2,4795,0.0,0.017504345625638962,0.0,4.705228328704834,0.998,0.998,-224.84406192101824,-238.63207523782725,650
2,5295,0.0,0.005849548615515232,0.0,5.2006964683532715,0.998,0.998,-258.4174978920639,-272.1784695023424,650
3,407,0.0,0.03936605155467987,0.0,5.585582733154297,0.996,0.996,-27.77576601881416,-27.77641895859912,900
3,907,0.0,0.012896141968667507,0.0,5.394715309143066,0.996,0.996,-72.86745946374415,-72.86119227017855,900
3,1407,0.0,0.04342946782708168,0.0,6.345641613006592,0.996,0.996,-116.48214937589391,-118.32448660996005,900
3,1907,0.0,0.027408305555582047,0.0,6.243946075439453,0.996,0.996,-158.904910509593,-158.97055328375401,900
3,2407,0.0,0.031324468553066254,0.0,7.126242160797119,0.996,0.996,-193.24017138204576,-194.96735166873165,900
3,2907,0.0,0.02612651325762272,0.0,7.261338233947754,0.996,0.996,-217.34210814741562,-202.25045812591577,900
3,3407,0.0,0.021188225597143173,0.0,7.620028972625732,0.996,0.996,-230.7434255894391,-222.0043041495289,900
3,3907,0.0,0.0398106724023819,0.0,7.7867536544799805,0.996,0.996,-236.95032001070325,-233.18827543083174,900
3,4407,0.0,0.04857676848769188,0.0,8.768110275268555,0.996,0.996,-170.55533600708443,-187.77924361110797,900
4,253,0.0,0.12668463587760925,0.0,9.15638256072998,0.995,0.995,-11.922920164541345,-11.922814670670034,0
4,753,0.0,0.17397882044315338,0.0,7.953020095825195,0.995,0.995,26.369653724598724,18.220314736669625,0
