episode,epsilon_p1,epsilon_p2,score_p1,score_p2,opponent_ep,episode_step,lr
5,0.994,0.994,0,0,350,5109,5e-05
6,0.993,0.993,0,0,0,4940,5e-05
7,0.992,0.992,0,0,550,4831,5e-05
8,0.991,0.991,0,0,50,4923,5e-05
9,0.989,0.989,1,0,750,4720,5e-05
10,0.988,0.988,2,0,300,4095,5e-05
11,0.987,0.987,2,1,600,1911,5e-05
12,0.986,0.986,3,1,450,4971,5e-05
13,0.985,0.985,3,1,650,5018,5e-05
14,0.983,0.983,3,2,400,1496,5e-05
15,0.982,0.982,4,2,850,1140,5e-05
16,0.981,0.981,4,2,300,5079,5e-05
17,0.98,0.98,4,3,600,3058,5e-05
18,0.979,0.979,4,3,900,5016,5e-05
19,0.977,0.977,4,3,400,5020,5e-05
20,0.976,0.976,4,3,300,5005,5e-05
21,0.975,0.975,4,3,950,4922,5e-05
22,0.974,0.974,4,4,50,4809,5e-05
23,0.973,0.973,4,4,100,5028,5e-05
24,0.972,0.972,4,5,150,4319,5e-05
25,0.97,0.97,4,5,550,5027,5e-05
26,0.969,0.969,5,5,450,2591,5e-05
27,0.968,0.968,5,5,700,5057,5e-05
28,0.967,0.967,5,5,800,5059,5e-05
29,0.966,0.966,5,5,50,5024,5e-05
30,0.964,0.964,5,5,800,5090,5e-05
31,0.963,0.963,5,5,250,4990,5e-05
32,0.962,0.962,5,5,0,5025,5e-05
33,0.961,0.961,6,5,550,2319,5e-05
34,0.96,0.96,6,5,350,5032,5e-05
35,0.958,0.958,6,5,350,4946,5e-05
36,0.957,0.957,6,5,450,5071,5e-05
37,0.956,0.956,6,6,100,1293,5e-05
38,0.955,0.955,6,6,200,5042,5e-05
39,0.954,0.954,6,6,150,5102,5e-05
40,0.953,0.953,6,6,300,5049,5e-05
41,0.951,0.951,6,6,150,4983,5e-05
42,0.95,0.95,6,6,550,5066,5e-05
43,0.949,0.949,6,6,350,5010,5e-05
44,0.948,0.948,6,6,550,5076,5e-05
45,0.947,0.947,6,6,550,5014,5e-05
46,0.945,0.945,6,6,250,4989,5e-05
47,0.944,0.944,6,6,100,5052,5e-05
48,0.943,0.943,6,6,450,5010,5e-05
