episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep,grad_norm_p2,rms_mean_p2,rms_std_p2
1,449,0.0,4.636151313781738,0.0,-24.117761611938477,0.997,0.997,0.0,-29.895196304108385,0.0001,1200,10.000000577256099,0.2582617452138646,0.3713250473665079
1,949,0.0,2.80116605758667,0.0,-22.119508743286133,0.997,0.997,0.0,-75.7467343538836,0.0001,1200,10.000000395524358,0.3066132892956846,0.3915672993682188
1,1449,0.0,1.3715273141860962,0.0,-15.514415740966797,0.997,0.997,0.0,-123.22721341954805,0.0001,1200,10.000000156394298,0.3270621936882317,0.3953439199644924
1,1949,0.0,1.0949020385742188,0.0,-31.42015838623047,0.997,0.997,0.0,-169.6150208463546,0.0001,1200,9.999999468002041,0.34372948582886353,0.39687873383550576
1,2449,0.0,0.8481894731521606,0.0,-28.520143508911133,0.997,0.997,0.0,-216.154586850472,0.0001,1200,9.999998777186644,0.35695881157845627,0.39696948823640277
1,2949,0.0,0.49300312995910645,0.0,-31.96731185913086,0.997,0.997,0.0,-258.9802811688237,0.0001,1200,9.99999990483803,0.36781772808758645,0.39690579783420327
1,3449,0.0,0.8349737524986267,0.0,-28.524385452270508,0.997,0.997,0.0,-308.2196593685852,0.0001,1200,10.000000576101032,0.37675886299280675,0.39590935205697414
1,3949,0.0,0.7981318235397339,0.0,-16.029911041259766,0.997,0.997,0.0,-301.04058216628414,0.0001,1200,9.999999577571508,0.38399876963691876,0.3945224057497975
1,4449,0.0,1.1215190887451172,0.0,-9.252973556518555,0.997,0.997,0.0,-214.5863550805382,0.0001,1200,10.000000155711414,0.38831275494227757,0.3930215255751999
2,533,0.0,0.46930795907974243,0.0,-6.029130458831787,0.994,0.994,0.0,-28.749066693955672,0.0001,750,9.999999397357696,0.3915185387894558,0.3919879479984882
2,1033,0.0,1.1418719291687012,0.0,-0.9079335927963257,0.994,0.994,0.0,-78.01329875459273,0.0001,750,10.000000793953658,0.39328688341591206,0.3909994883798902
2,1533,0.0,0.9375863075256348,0.0,3.5216431617736816,0.994,0.994,0.0,-121.4227432255696,0.0001,750,9.99999987038673,0.3953719654334913,0.3901093108678094
2,2033,0.0,0.6051361560821533,0.0,12.271169662475586,0.994,0.994,0.0,-166.11404983591322,0.0001,750,10.000000416226683,0.39732394072988036,0.3892081019242128
2,2533,0.0,1.0443599224090576,0.0,13.726354598999023,0.994,0.994,0.0,-212.28158420351627,0.0001,750,9.999999425127763,0.3994217423586755,0.3883849221974136
2,3033,0.0,1.2642604112625122,0.0,15.69853401184082,0.994,0.994,0.0,-258.6220798228406,0.0001,750,9.999999547524203,0.4012923383818361,0.38752655012159576
2,3533,0.0,1.6772563457489014,0.0,17.299869537353516,0.994,0.994,0.0,-309.21005528033294,0.0001,750,10.00000069147567,0.4030646200662719,0.38678548821971515
2,4033,0.0,1.6393121480941772,0.0,19.834936141967773,0.994,0.994,0.0,-355.28897424726824,0.0001,750,10.000000413412165,0.40462494039471,0.3859639983838748
2,4533,0.0,0.9483198523521423,0.0,27.353897094726562,0.994,0.994,0.0,-403.11270877038424,0.0001,750,9.999999322140818,0.4062557919256098,0.3850559629253354
2,5033,0.0,1.1178226470947266,0.0,27.963224411010742,0.994,0.994,0.0,-448.1733395393446,0.0001,750,9.999999562922893,0.40789008402942334,0.38421288320280994
2,5533,0.0,0.7709819078445435,0.0,20.06614875793457,0.994,0.994,0.0,-495.7431633040957,0.0001,750,10.000000088197828,0.4093365016466519,0.3833999508486685
