episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep
0,623,0.0,0.0012012580409646034,0.0,5.472775936126709,0.0,0.05,0.0,2.5992742219157567,0.0001,0
0,1123,0.0,0.0019953232258558273,0.0,5.169985771179199,0.0,0.05,0.0,-6.977073267268268,0.0001,0
0,1623,0.0,0.006050784140825272,0.0,4.055973529815674,0.0,0.05,0.0,-15.731956226997156,0.0001,0
1,380,0.0,0.11433681845664978,0.0,4.152599334716797,0.999,0.999,0.0,2.0049928039972316,0.0001,150
1,880,0.0,0.004113665781915188,0.0,5.008634567260742,0.999,0.999,0.0,6.05467018762476,0.0001,150
1,1380,0.0,0.023835264146327972,0.0,4.730555534362793,0.999,0.999,0.0,10.332972251463762,0.0001,150
1,1880,0.0,0.022238796576857567,0.0,4.705334663391113,0.999,0.999,0.0,15.229694074199763,0.0001,150
1,2380,0.0,0.025493871420621872,0.0,4.829998016357422,0.999,0.999,0.0,21.615284828516007,0.0001,150
1,2880,0.0,0.03784698620438576,0.0,4.92840051651001,0.999,0.999,0.0,26.412686846858715,0.0001,150
1,3380,0.0,0.001042302930727601,0.0,4.477136135101318,0.999,0.999,0.0,15.701071610397001,0.0001,150
